"iditem_liquidacion_final"|"fecha_creado"|"creado_por"|"orden"|"descripcion"|"comprobante_nro"|"total_guarani"|"sin_iva"|"solo_iva"|"fk_idliquidacion_final"|"fk_idcomprobante_liquidacion"
5364|"2023-01-10 10:27:43.379"|"5-Angel Rios "|16|"HON. DESP. S/ LEY 220/93"|"001-001-0002181"|5686646|5169678|516967|333|16
5365|"2023-01-10 10:27:43.39"|"5-Angel Rios "|17|"GASTO ADMIN."|"x"|0|0|0|333|17
5366|"2023-01-10 10:53:36.083"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"22018EC01004012W"|0|0|0|334|2
5367|"2023-01-10 10:53:36.09"|"5-Angel Rios "|2|"INDI"|"22018EC01004012W"|0|0|0|334|3
5368|"2023-01-10 10:53:36.101"|"5-Angel Rios "|3|"I.S.C."|"22018EC01004012W"|0|0|0|334|4
5369|"2023-01-10 10:53:36.107"|"5-Angel Rios "|4|"SERVICIO DE VALORACION"|"22018EC01004012W"|0|0|0|334|5
5370|"2023-01-10 10:53:36.112"|"5-Angel Rios "|5|"IRE GENERAL 700"|"22018EC01004012W"|0|0|0|334|38
5371|"2023-01-10 10:53:36.12"|"5-Angel Rios "|6|"I.V.A."|"22018EC01004012W"|0|0|0|334|8
5372|"2023-01-10 10:53:36.128"|"5-Angel Rios "|7|"CANON INFORMATICO"|"22018EC01004012W"|245222|245222|0|334|9
5373|"2023-01-10 10:53:36.135"|"5-Angel Rios "|8|"APERTURA AG. TRANSP."|"x"|0|0|0|334|13
5374|"2023-01-10 10:53:36.142"|"5-Angel Rios "|9|"FOTOCOPIAS"|"001-001-0009890"|50000|45454|4545|334|12
5375|"2023-01-10 10:53:36.15"|"5-Angel Rios "|10|"TASA UIP CO"|"002-002-0002907"|98089|89171|8917|334|14
5376|"2023-01-10 10:53:36.156"|"5-Angel Rios "|11|"TASA MIC CO"|"2021391"|103589|94171|9417|334|27
5377|"2023-01-10 10:53:36.162"|"5-Angel Rios "|12|"SERVICIOS SOFIA / ANNP"|"x"|0|0|0|334|11
5378|"2023-01-10 10:53:36.171"|"5-Angel Rios "|13|"VISACION MRE"|"x"|0|0|0|334|28
5379|"2023-01-10 10:53:36.177"|"5-Angel Rios "|14|"CDAP PAGOS"|"x"|0|0|0|334|27
5380|"2023-01-10 10:53:36.185"|"5-Angel Rios "|15|"VISACION CONSUL"|"x"|0|0|0|334|15
5381|"2023-01-10 10:53:36.192"|"5-Angel Rios "|16|"HON. DESP. S/ LEY 220/93"|"001-001-0002183"|2989771|2717973|271797|334|16
5382|"2023-01-10 10:53:36.201"|"5-Angel Rios "|17|"GASTO ADMIN."|"x"|0|0|0|334|17
5383|"2023-01-10 11:04:14.532"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"23005IT0402000003Y"|0|0|0|335|2
5384|"2023-01-10 11:04:14.539"|"5-Angel Rios "|2|"INDI"|"23005IT0402000003Y"|0|0|0|335|3
5385|"2023-01-10 11:04:14.546"|"5-Angel Rios "|3|"I.S.C."|"23005IT0402000003Y"|0|0|0|335|4
5386|"2023-01-10 11:04:14.551"|"5-Angel Rios "|4|"SERVICIO DE VALORACION"|"23005IT0402000003Y"|0|0|0|335|5
5387|"2023-01-10 11:04:14.558"|"5-Angel Rios "|5|"IRE GENERAL 700"|"23005IT0402000003Y"|0|0|0|335|38
5388|"2023-01-10 11:04:14.566"|"5-Angel Rios "|6|"I.V.A."|"23005IT0402000003Y"|0|0|0|335|8
5389|"2023-01-10 11:04:14.572"|"5-Angel Rios "|7|"CANON INFORMATICO "|"x"|0|0|0|335|9
5390|"2023-01-10 11:04:14.577"|"5-Angel Rios "|8|"APERTURA AG. TRANSP."|"001-001-0019187"|180000|163636|16363|335|13
5391|"2023-01-10 11:04:14.582"|"5-Angel Rios "|9|"FOTOCOPIAS"|"001-002-0018860"|80000|72727|7272|335|12
5392|"2023-01-10 11:04:14.587"|"5-Angel Rios "|10|"TASA PORTUARIA"|"002-001-0012352"|333486|303169|30316|335|14
5393|"2023-01-10 11:04:14.595"|"5-Angel Rios "|11|"CDAP PAGOS"|"001-025-0015646"|7345|6677|667|335|27
5394|"2023-01-10 11:04:14.6"|"5-Angel Rios "|12|"SERVICIOS SOFIA / ANNP"|"001-004-0180451"|8337|7579|757|335|11
5395|"2023-01-10 11:04:14.606"|"5-Angel Rios "|13|"VISACION MRE"|"x"|0|0|0|335|28
5396|"2023-01-10 11:04:14.615"|"5-Angel Rios "|14|"CDAP PAGOS"|"x"|0|0|0|335|27
5397|"2023-01-10 11:04:14.621"|"5-Angel Rios "|15|"VISACION CONSUL"|"x"|0|0|0|335|15
5398|"2023-01-10 11:04:14.629"|"5-Angel Rios "|16|"HON. DESP. S/ LEY 220/93"|"001-001-0002184"|2968722|2698838|269883|335|16
5399|"2023-01-10 11:04:14.636"|"5-Angel Rios "|17|"GASTO ADMIN."|"x"|0|0|0|335|17
5400|"2023-01-18 09:09:08.174"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"22002IC04026356Y"|0|0|0|336|2
5401|"2023-01-18 09:09:08.183"|"5-Angel Rios "|2|"INDI"|"22002IC04026356Y"|0|0|0|336|3
5402|"2023-01-18 09:09:08.196"|"5-Angel Rios "|3|"I.S.C."|"22002IC04026356Y"|0|0|0|336|4
5403|"2023-01-18 09:09:08.203"|"5-Angel Rios "|4|"SERVICIO DE VALORACION"|"22002IC04026356Y"|472775|472775|0|336|5
5404|"2023-01-18 09:09:08.218"|"5-Angel Rios "|5|"IRE GENERAL 700"|"22002IC04026356Y"|381416|381416|0|336|38
5405|"2023-01-18 09:09:08.23"|"5-Angel Rios "|6|"I.V.A."|"22002IC04026356Y"|9535410|0|9535410|336|8
5406|"2023-01-18 09:09:08.251"|"5-Angel Rios "|7|"CANON INFORMATICO"|"5852352"|250222|250222|0|336|9
5407|"2023-01-18 09:09:08.257"|"5-Angel Rios "|8|"APERTURA AG. TRANSP."|"x"|0|0|0|336|13
5408|"2023-01-18 09:09:08.268"|"5-Angel Rios "|9|"FOTOCOPIAS"|"004-003-0011882"|48000|43636|4363|336|12
5409|"2023-01-18 09:09:08.273"|"5-Angel Rios "|10|"TASA PORTUARIA"|"001-034-0077016"|1360135|1236486|123648|336|14
5410|"2023-01-18 09:09:08.279"|"5-Angel Rios "|11|"CDAP PAGOS"|"001-021-0003092"|21644|19676|1967|336|27
5411|"2023-01-18 09:09:08.286"|"5-Angel Rios "|12|"GUÍA AEREA"|"017-010-0030977"|450000|409090|40909|336|11
5412|"2023-01-18 09:09:08.291"|"5-Angel Rios "|13|"VISACION MRE"|"x"|0|0|0|336|28
5413|"2023-01-18 09:09:08.302"|"5-Angel Rios "|14|"CDAP PAGOS"|"x"|0|0|0|336|27
5414|"2023-01-18 09:09:08.304"|"5-Angel Rios "|15|"VISACION CONSUL"|"x"|0|0|0|336|15
5415|"2023-01-18 09:09:08.313"|"5-Angel Rios "|16|"HON. DESP. S/ LEY 220/93"|"001-001-0002178"|2354523|2140475|214047|336|16
5416|"2023-01-18 09:09:08.319"|"5-Angel Rios "|17|"GASTO ADMIN."|"x"|0|0|0|336|17
5418|"2023-01-18 09:24:44.643"|"5-Angel Rios "|2|"INDI"|"23005IC04000095K"|28120|28120|0|337|3
5419|"2023-01-18 09:24:44.65"|"5-Angel Rios "|3|"I.S.C."|"23005IC04000095K"|0|0|0|337|4
5420|"2023-01-18 09:24:44.662"|"5-Angel Rios "|4|"SERVICIO DE VALORACION"|"23005IC04000095K"|308221|308221|0|337|5
5421|"2023-01-18 09:24:44.669"|"5-Angel Rios "|5|"IRE GENERAL 700"|"23005IC04000095K"|249529|249529|0|337|38
5422|"2023-01-18 09:24:44.682"|"5-Angel Rios "|6|"I.V.A."|"23005IC04000095K"|6238221|0|6238221|337|8
5423|"2023-01-18 09:24:44.691"|"5-Angel Rios "|7|"CANON INFORMATICO"|"23005IC04000095K"|245222|245222|0|337|9
5424|"2023-01-18 09:24:44.709"|"5-Angel Rios "|8|"APERTURA AG. TRANSP."|"001-001-0019188"|180000|163636|16363|337|13
5425|"2023-01-18 09:24:44.712"|"5-Angel Rios "|9|"FOTOCOPIAS"|"001-002-0018862"|80000|72727|7272|337|12
5426|"2023-01-18 09:24:44.721"|"5-Angel Rios "|10|"TASA PORTUARIA"|"002-001-0012542"|386123|351020|35102|337|14
5427|"2023-01-18 09:24:44.726"|"5-Angel Rios "|11|"CDAP PAGOS"|"001-025-0016059"|7303|6639|663|337|27
5428|"2023-01-18 09:24:44.73"|"5-Angel Rios "|12|"SERVICIOS SOFIA / ANNP"|"001-004-0180864"|9653|8775|877|337|11
5429|"2023-01-18 09:24:44.74"|"5-Angel Rios "|13|"VISACION MRE"|"230000286"|490445|490445|0|337|28
5430|"2023-01-18 09:24:44.741"|"5-Angel Rios "|14|"CDAP PAGOS"|"001-024-0016841"|10000|9090|909|337|27
5431|"2023-01-18 09:24:44.759"|"5-Angel Rios "|15|"VISACION CONSUL"|"3119907/08"|248000|248000|0|337|15
5432|"2023-01-18 09:24:44.768"|"5-Angel Rios "|16|"HON. DESP. S/ LEY 220/93"|"001-001-0002185"|1927584|1752349|175234|337|16
5433|"2023-01-18 09:24:44.774"|"5-Angel Rios "|17|"GASTO ADMIN."|"x"|0|0|0|337|17
5434|"2023-01-18 10:59:35.71"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"23005IC04001386@"|0|0|0|338|2
5435|"2023-01-18 10:59:35.719"|"5-Angel Rios "|2|"INDI"|"23005IC04001386@"|28490|28490|0|338|3
5436|"2023-01-18 10:59:35.74"|"5-Angel Rios "|3|"I.S.C."|"23005IC04001386@"|0|0|0|338|4
5437|"2023-01-18 10:59:35.751"|"5-Angel Rios "|4|"SERVICIO DE VALORACION"|"23005IC04001386@"|202151|202151|0|338|5
5438|"2023-01-18 10:59:35.783"|"5-Angel Rios "|5|"IRE GENERAL 700"|"23005IC04001386@"|164271|164271|0|338|38
5439|"2023-01-18 10:59:35.823"|"5-Angel Rios "|6|"I.V.A."|"23005IC04001386@"|4106776|0|4106776|338|8
5440|"2023-01-18 10:59:35.831"|"5-Angel Rios "|7|"CANON INFORMATICO"|"x"|245222|245222|0|338|9
5441|"2023-01-18 10:59:35.84"|"5-Angel Rios "|8|"APERTURA AG. TRANSP."|"x"|180000|163636|16363|338|13
5442|"2023-01-18 10:59:35.852"|"5-Angel Rios "|9|"FOTOCOPIAS"|"x"|70000|63636|6363|338|12
5443|"2023-01-18 10:59:35.899"|"5-Angel Rios "|10|"TASA PORTUARIA"|"x"|210000|190909|19090|338|14
5444|"2023-01-18 10:59:35.914"|"5-Angel Rios "|11|"CDAP PAGOS"|"x"|10000|9090|909|338|27
5445|"2023-01-18 10:59:35.926"|"5-Angel Rios "|12|"SERVICIOS SOFIA / ANNP"|"x"|7000|6363|636|338|11
5446|"2023-01-18 10:59:35.938"|"5-Angel Rios "|13|"VISACION CONSUL"|"x"|700000|700000|0|338|28
5447|"2023-01-18 10:59:35.951"|"5-Angel Rios "|14|"CDAP PAGOS"|"x"|0|0|0|338|27
5448|"2023-01-18 10:59:35.967"|"5-Angel Rios "|16|"HON. DESP. S/ LEY 220/93"|"x"|1313731|1194300|119430|338|16
5449|"2023-01-18 10:59:35.987"|"5-Angel Rios "|17|"GASTO ADMIN."|"x"|0|0|0|338|17
5450|"2023-01-18 11:12:55.087"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"23005IC04001386@"|0|0|0|339|2
5451|"2023-01-18 11:12:55.096"|"5-Angel Rios "|2|"INDI"|"23005IC04001386@"|28490|28490|0|339|3
5452|"2023-01-18 11:12:55.106"|"5-Angel Rios "|3|"I.S.C."|"23005IC04001386@"|0|0|0|339|4
5453|"2023-01-18 11:12:55.112"|"5-Angel Rios "|4|"SERVICIO DE VALORACION"|"23005IC04001386@"|202151|202151|0|339|5
5454|"2023-01-18 11:12:55.12"|"5-Angel Rios "|5|"IRE GENERAL 700"|"23005IC04001386@"|164271|164271|0|339|38
5455|"2023-01-18 11:12:55.128"|"5-Angel Rios "|6|"I.V.A."|"23005IC04001386@"|4106776|0|4106776|339|8
5456|"2023-01-18 11:12:55.149"|"5-Angel Rios "|7|"CANON INFORMATICO"|"x"|245222|245222|0|339|9
5457|"2023-01-18 11:12:55.161"|"5-Angel Rios "|8|"APERTURA AG. TRANSP."|"x"|180000|163636|16363|339|13
5458|"2023-01-18 11:12:55.17"|"5-Angel Rios "|9|"FOTOCOPIAS"|"x"|70000|63636|6363|339|12
5459|"2023-01-18 11:12:55.177"|"5-Angel Rios "|10|"TASA PORTUARIA"|"x"|210000|190909|19090|339|14
5460|"2023-01-18 11:12:55.182"|"5-Angel Rios "|11|"CDAP PAGOS"|"x"|10000|9090|909|339|27
5461|"2023-01-18 11:12:55.19"|"5-Angel Rios "|12|"SERVICIOS SOFIA / ANNP"|"x"|7000|6363|636|339|11
5462|"2023-01-18 11:12:55.196"|"5-Angel Rios "|13|"VISACION CONSUL"|"x"|700000|700000|0|339|28
5463|"2023-01-18 11:12:55.201"|"5-Angel Rios "|14|"CDAP PAGOS"|"x"|0|0|0|339|27
5464|"2023-01-18 11:12:55.209"|"5-Angel Rios "|16|"HON. DESP. S/ LEY 220/93"|"x"|1313731|1194300|119430|339|16
5465|"2023-01-18 11:12:55.216"|"5-Angel Rios "|17|"GASTO ADMIN. / CONTABLE"|"x"|1200000|1200000|0|339|17
5466|"2023-01-18 11:26:55.702"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"23005IC04000726L"|0|0|0|340|2
5467|"2023-01-18 11:26:55.709"|"5-Angel Rios "|2|"INDI"|"23005IC04000726L"|27790|27790|0|340|3
5468|"2023-01-18 11:26:55.719"|"5-Angel Rios "|3|"I.S.C."|"23005IC04000726L"|0|0|0|340|4
5469|"2023-01-18 11:26:55.731"|"5-Angel Rios "|4|"SERVICIO DE VALORACION"|"23005IC04000726L"|1770089|1770089|0|340|5
5470|"2023-01-18 11:26:55.742"|"5-Angel Rios "|5|"IRE GENERAL 700"|"23005IC04000726L"|1424851|1424851|0|340|38
5471|"2023-01-18 11:26:55.751"|"5-Angel Rios "|6|"I.V.A."|"23005IC04000726L"|35621277|0|35621277|340|8
5472|"2023-01-18 11:26:55.755"|"5-Angel Rios "|7|"CANON INFORMATICO"|"23005IC04000726L"|245222|245222|0|340|9
5473|"2023-01-18 11:26:55.777"|"5-Angel Rios "|8|"APERTURA AG. TRANSP."|"001-001-0019391"|180000|163636|16363|340|13
5474|"2023-01-18 11:26:55.787"|"5-Angel Rios "|9|"FOTOCOPIAS"|"001-002-0018917"|80000|72727|7272|340|12
5475|"2023-01-18 11:26:55.795"|"5-Angel Rios "|10|"TASA PORTUARIA"|"002-001-0014676"|1880324|1709385|170938|340|14
5476|"2023-01-18 11:26:55.801"|"5-Angel Rios "|11|"CDAP PAGOS"|"001-025-0020480"|7412|6738|673|340|27
5477|"2023-01-18 11:26:55.809"|"5-Angel Rios "|12|"SERVICIOS SOFIA / ANNP"|"001-004-0185298"|47008|42734|4273|340|11
5478|"2023-01-18 11:26:55.82"|"5-Angel Rios "|13|"VISACION MRE"|"2300001591"|980890|980890|0|340|28
5479|"2023-01-18 11:26:55.849"|"5-Angel Rios "|14|"CDAP PAGOS"|"001-002-0021006"|10000|9090|909|340|27
5480|"2023-01-18 11:26:55.864"|"5-Angel Rios "|15|"VISACION CONSUL"|"x"|0|0|0|340|15
5481|"2023-01-18 11:26:55.876"|"5-Angel Rios "|16|"HON. DESP. S/ LEY 220/93"|"001-001-0002186"|4810021|4372746|437274|340|16
5482|"2023-01-18 11:26:55.901"|"5-Angel Rios "|17|"GASTO ADMIN."|"x"|0|0|0|340|17
5483|"2023-01-18 11:42:15.539"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"23005IC04000679S"|0|0|0|341|2
5484|"2023-01-18 11:42:15.549"|"5-Angel Rios "|2|"INDI"|"23005IC04000679S"|27790|27790|0|341|3
5485|"2023-01-18 11:42:15.576"|"5-Angel Rios "|3|"I.S.C."|"23005IC04000679S"|0|0|0|341|4
5486|"2023-01-18 11:42:15.6"|"5-Angel Rios "|4|"SERVICIO DE VALORACION"|"23005IC04000679S"|4043283|4043283|0|341|5
5763|"2023-02-08 11:40:30.031"|"5-Angel Rios "|15|"VISACION CONSUL"|"x"|0|0|0|355|15
5487|"2023-01-18 11:42:15.688"|"5-Angel Rios "|5|"IRE GENERAL 700"|"23005IC04000679S"|3252498|3252498|0|341|38
5488|"2023-01-18 11:42:15.707"|"5-Angel Rios "|6|"I.V.A."|"23005IC04000679S"|81312465|0|81312465|341|8
5489|"2023-01-18 11:42:15.772"|"5-Angel Rios "|7|"CANON INFORMATICO"|"23005IC04000679S"|245222|245222|0|341|9
5490|"2023-01-18 11:42:15.798"|"5-Angel Rios "|8|"APERTURA AG. TRANSP."|"x"|0|0|0|341|13
5491|"2023-01-18 11:42:15.824"|"5-Angel Rios "|9|"FOTOCOPIAS"|"001-002-0018912"|70000|63636|6363|341|12
5492|"2023-01-18 11:42:15.857"|"5-Angel Rios "|10|"TASA PORTUARIA"|"002-001-0014485"|3630865|3300786|330078|341|14
5493|"2023-01-18 11:42:15.868"|"5-Angel Rios "|11|"CDAP PAGOS"|"001-025-0020078"|7395|6722|672|341|27
5494|"2023-01-18 11:42:15.875"|"5-Angel Rios "|12|"SERVICIOS SOFIA / ANNP"|"001-004-0184889"|90772|82520|8252|341|11
5495|"2023-01-18 11:42:15.882"|"5-Angel Rios "|13|"VISACION MRE"|"x"|0|0|0|341|28
5496|"2023-01-18 11:42:15.9"|"5-Angel Rios "|14|"CDAP PAGOS"|"x"|0|0|0|341|27
5497|"2023-01-18 11:42:15.906"|"5-Angel Rios "|15|"VISACION CONSUL"|"03134958/59/60/61"|902000|902000|0|341|15
5498|"2023-01-18 11:42:15.912"|"5-Angel Rios "|16|"HON. DESP. S/ LEY 220/93"|"001-001-0002187"|5590283|5082075|508207|341|16
5499|"2023-01-18 11:42:15.92"|"5-Angel Rios "|17|"GASTO ADMIN."|"x"|0|0|0|341|17
5500|"2023-01-18 11:43:43.711"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"23005IC04000726L"|0|0|0|342|2
5501|"2023-01-18 11:43:43.717"|"5-Angel Rios "|2|"INDI"|"23005IC04000726L"|27790|27790|0|342|3
5502|"2023-01-18 11:43:43.723"|"5-Angel Rios "|3|"I.S.C."|"23005IC04000726L"|0|0|0|342|4
5503|"2023-01-18 11:43:43.731"|"5-Angel Rios "|4|"SERVICIO DE VALORACION"|"23005IC04000726L"|1770089|1770089|0|342|5
5504|"2023-01-18 11:43:43.736"|"5-Angel Rios "|5|"IRE GENERAL 700"|"23005IC04000726L"|1424851|1424851|0|342|38
5505|"2023-01-18 11:43:43.742"|"5-Angel Rios "|6|"I.V.A."|"23005IC04000726L"|35621277|0|35621277|342|8
5506|"2023-01-18 11:43:43.748"|"5-Angel Rios "|7|"CANON INFORMATICO"|"23005IC04000726L"|245222|245222|0|342|9
5507|"2023-01-18 11:43:43.754"|"5-Angel Rios "|8|"APERTURA AG. TRANSP."|"001-001-0019391"|180000|163636|16363|342|13
5508|"2023-01-18 11:43:43.763"|"5-Angel Rios "|9|"FOTOCOPIAS"|"001-002-0018917"|80000|72727|7272|342|12
5509|"2023-01-18 11:43:43.769"|"5-Angel Rios "|10|"TASA PORTUARIA"|"002-001-0014676"|1880324|1709385|170938|342|14
5510|"2023-01-18 11:43:43.773"|"5-Angel Rios "|11|"CDAP PAGOS"|"001-025-0020480"|7412|6738|673|342|27
5511|"2023-01-18 11:43:43.781"|"5-Angel Rios "|12|"SERVICIOS SOFIA / ANNP"|"001-004-0185298"|47008|42734|4273|342|11
5512|"2023-01-18 11:43:43.791"|"5-Angel Rios "|13|"VISACION MRE"|"2300001591"|980890|980890|0|342|28
5513|"2023-01-18 11:43:43.801"|"5-Angel Rios "|14|"CDAP PAGOS"|"001-002-0021006"|10000|9090|909|342|27
5514|"2023-01-18 11:43:43.806"|"5-Angel Rios "|15|"VISACION CONSUL"|"x"|0|0|0|342|15
5515|"2023-01-18 11:43:43.812"|"5-Angel Rios "|16|"HON. DESP. S/ LEY 220/93"|"001-001-0002186"|4810021|4372746|437274|342|16
5516|"2023-01-18 11:43:43.817"|"5-Angel Rios "|17|"GASTO ADMIN."|"x"|0|0|0|342|17
5517|"2023-01-18 15:20:39.543"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"23002IC04000811D"|0|0|0|343|2
5518|"2023-01-18 15:20:39.553"|"5-Angel Rios "|2|"INDI"|"23002IC04000811D"|0|0|0|343|3
5519|"2023-01-18 15:20:39.563"|"5-Angel Rios "|3|"I.S.C."|"23002IC04000811D"|0|0|0|343|4
5520|"2023-01-18 15:20:39.574"|"5-Angel Rios "|4|"SERVICIO DE VALORACION"|"23002IC04000811D"|200940|200940|0|343|5
5521|"2023-01-18 15:20:39.584"|"5-Angel Rios "|5|"IRE GENERAL 700"|"23002IC04000811D"|162444|162444|0|343|38
5522|"2023-01-18 15:20:39.597"|"5-Angel Rios "|6|"I.V.A."|"23002IC04000811D"|4061089|0|4061089|343|8
5523|"2023-01-18 15:20:39.607"|"5-Angel Rios "|7|"CANON INFORMATICO"|"6105902"|250222|250222|0|343|9
5524|"2023-01-18 15:20:39.614"|"5-Angel Rios "|8|"APERTURA AG. TRANSP."|"x"|0|0|0|343|13
5525|"2023-01-18 15:20:39.622"|"5-Angel Rios "|9|"FOTOCOPIAS"|"004-003-0013676"|42000|38181|3818|343|12
5526|"2023-01-18 15:20:39.627"|"5-Angel Rios "|10|"TASA PORTUARIA"|"020-001-0780863"|582852|529865|52986|343|14
5527|"2023-01-18 15:20:39.634"|"5-Angel Rios "|11|"CDAP PAGOS"|"001-021-0007359"|22260|20236|2023|343|27
5528|"2023-01-18 15:20:39.639"|"5-Angel Rios "|12|"GUÍA AEREA"|"001-001-0041448"|440000|400000|40000|343|11
5529|"2023-01-18 15:20:39.645"|"5-Angel Rios "|13|"VISACION MRE"|"x"|0|0|0|343|28
5530|"2023-01-18 15:20:39.651"|"5-Angel Rios "|14|"CDAP PAGOS"|"x"|0|0|0|343|27
5531|"2023-01-18 15:20:39.659"|"5-Angel Rios "|15|"VISACION CONSUL"|"x"|0|0|0|343|15
5532|"2023-01-18 15:20:39.669"|"5-Angel Rios "|16|"HON. DESP. S/ LEY 220/93"|"001-001-0002188"|2126044|1932767|193276|343|16
5533|"2023-01-18 15:20:39.692"|"5-Angel Rios "|17|"GASTO ADMIN."|"x"|0|0|0|343|17
5534|"2023-01-18 15:54:57.96"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"23030IM04000026M"|2892489|2892489|0|344|2
5535|"2023-01-18 15:54:57.974"|"5-Angel Rios "|2|"INDI"|"23030IM04000026M"|15576|15576|0|344|3
5536|"2023-01-18 15:54:57.98"|"5-Angel Rios "|3|"ARANC CONS FACTURA "|"23030IM04000026M"|111255|111255|0|344|33
5537|"2023-01-18 15:54:57.986"|"5-Angel Rios "|3|"I.S.C."|"23030IM04000026M"|0|0|0|344|4
5538|"2023-01-18 15:54:57.993"|"5-Angel Rios "|4|"SERVICIO DE VALORACION"|"23030IM04000026M"|80347|80347|0|344|5
5539|"2023-01-18 15:54:58.001"|"5-Angel Rios "|5|"IRE GENERAL 700"|"23030IM04000026M"|77121|77121|0|344|38
5540|"2023-01-18 15:54:58.013"|"5-Angel Rios "|6|"I.V.A."|"23030IM04000026M"|1928031|0|1928031|344|8
5541|"2023-01-18 15:54:58.02"|"5-Angel Rios "|7|"TASA INT. ADUANERA "|"23030IM04000026M"|370849|370849|0|344|35
5542|"2023-01-18 15:54:58.029"|"5-Angel Rios "|7|"CANON INFORMATICO"|"6171092"|54044|54044|0|344|9
5543|"2023-01-18 15:54:58.034"|"5-Angel Rios "|8|"APERTURA AG. TRANSP."|"x"|0|0|0|344|13
5544|"2023-01-18 15:54:58.042"|"5-Angel Rios "|9|"FOTOCOPIAS"|"020-002-0005302"|30000|27272|2727|344|12
5545|"2023-01-18 15:54:58.047"|"5-Angel Rios "|10|"TASA PORTUARIA"|"001-004-0002532"|1705904|1550821|155082|344|14
5546|"2023-01-18 15:54:58.054"|"5-Angel Rios "|11|"CDAP PAGOS"|"x"|0|0|0|344|27
5547|"2023-01-18 15:54:58.059"|"5-Angel Rios "|12|"FLETE INTERNO "|"001-001-0000910"|330000|300000|30000|344|11
5548|"2023-01-18 15:54:58.073"|"5-Angel Rios "|13|"VISACION MRE"|"1186975"|490445|490445|0|344|28
5549|"2023-01-18 15:54:58.083"|"5-Angel Rios "|14|"CDAP PAGOS"|"001-024-0022182"|10000|9090|909|344|27
5550|"2023-01-18 15:54:58.09"|"5-Angel Rios "|15|"FLETE INTERNO "|"001-002-0026709"|750000|750000|0|344|15
5551|"2023-01-18 15:54:58.095"|"5-Angel Rios "|16|"HON. DESP. S/ LEY 220/93"|"001-001-0002189"|440000|400000|40000|344|16
5552|"2023-01-18 15:54:58.102"|"5-Angel Rios "|17|"GASTO ADMIN."|"001-001-0000312"|691859|628963|62896|344|17
5553|"2023-01-19 10:19:51.984"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"23015IC04000328K"|0|0|0|345|2
5554|"2023-01-19 10:19:51.993"|"5-Angel Rios "|2|"INDI"|"23015IC04000328K"|68661|68661|0|345|3
5555|"2023-01-19 10:19:52.007"|"5-Angel Rios "|3|"I.S.C."|"23015IC04000328K"|3147171|3147171|0|345|4
5556|"2023-01-19 10:19:52.017"|"5-Angel Rios "|3|"ARANC CONS FACTURA "|"23015IC04000328K"|0|0|0|345|33
5557|"2023-01-19 10:19:52.026"|"5-Angel Rios "|4|"SERVICIO DE VALORACION"|"23015IC04000328K"|1560537|1560537|0|345|5
5558|"2023-01-19 10:19:52.035"|"5-Angel Rios "|5|"IRE GENERAL 700"|"23015IC04000328K"|1271457|1271457|0|345|38
5559|"2023-01-19 10:19:52.041"|"5-Angel Rios "|6|"I.V.A."|"23015IC04000328K"|31786437|0|31786437|345|8
5560|"2023-01-19 10:19:52.049"|"5-Angel Rios "|7|"TASA INT. ADUANERA "|"23015IC04000328K"|370630|370630|0|345|35
5561|"2023-01-19 10:19:52.055"|"5-Angel Rios "|7|"CANON INFORMATICO"|"0006109724"|250222|250222|0|345|9
5562|"2023-01-19 10:19:52.061"|"5-Angel Rios "|8|"FLETE INTERNO"|"001-002-0026662"|750000|681818|68181|345|13
5563|"2023-01-19 10:19:52.069"|"5-Angel Rios "|9|"FOTOCOPIAS"|"006-002-0003210"|30000|27272|2727|345|12
5564|"2023-01-19 10:19:52.08"|"5-Angel Rios "|10|"TASA PORTUARIA"|"001-002-0158113"|1665755|1514322|151432|345|14
5565|"2023-01-19 10:19:52.087"|"5-Angel Rios "|11|"FLETE SANTIAGO - ASUNCION"|"001-003-0000368"|12288150|11171045|1117104|345|27
5566|"2023-01-19 10:19:52.093"|"5-Angel Rios "|12|"FLETE PAKSA "|"001-001-0000908"|275000|250000|25000|345|11
5567|"2023-01-19 10:19:52.109"|"5-Angel Rios "|13|"VISACION MRE"|"1185801"|980890|980890|0|345|28
5568|"2023-01-19 10:19:52.119"|"5-Angel Rios "|14|"CDAP PAGOS"|"001-024-0021103"|10000|9090|909|345|27
5569|"2023-01-19 10:19:52.128"|"5-Angel Rios "|15|"VISACION CONSUL"|"x"|0|0|0|345|15
5570|"2023-01-19 10:19:52.133"|"5-Angel Rios "|16|"HON. DESP. S/ LEY 220/93"|"001-001-0000313"|4857953|4416320|441632|345|16
5571|"2023-01-19 10:19:52.139"|"5-Angel Rios "|17|"GASTO ADMIN."|"001-001-0002190"|1000000|909091|90909|345|17
